op_memory sequence_length batch_size num_layers num_units num_steps
3144192 10 16 1 100 50
9483008 10 16 1 200 50
47272448 10 16 1 500 50
177298944 10 16 1 1000 50
681131008 10 16 1 2000 50
4936192 10 16 2 100 50
15727104 10 16 2 200 50
80826880 10 16 2 500 50
311933440 10 16 2 1000 50
1218008832 10 16 2 2000 50
6483712 10 16 3 100 50
19642112 10 16 3 200 50
106988800 10 16 3 500 50
411708672 10 16 3 1000 50
1611173120 10 16 3 2000 50
8260096 10 16 4 100 50
26385408 10 16 4 200 50
133867520 10 16 4 500 50
522551040 10 16 4 1000 50
2048628480 10 16 4 2000 50
4258816 10 32 1 100 50
12262912 10 32 1 200 50
53786112 10 32 1 500 50
189803264 10 32 1 1000 50
708677632 10 32 1 2000 50
6881280 10 32 2 100 50
18493440 10 32 2 200 50
85850624 10 32 2 500 50
323890432 10 32 2 1000 50
1244525824 10 32 2 2000 50
8237568 10 32 3 100 50
25054720 10 32 3 200 50
123265280 10 32 3 500 50
427969792 10 32 3 1000 50
1644967168 10 32 3 2000 50
11043840 10 32 4 100 50
33009920 10 32 4 200 50
147374336 10 32 4 500 50
539787008 10 32 4 1000 50
2088076800 10 32 4 2000 50
7709440 10 64 1 100 50
18283520 10 64 1 200 50
65918976 10 64 1 500 50
217215744 10 64 1 1000 50
762712064 10 64 1 2000 50
10341120 10 64 2 100 50
23694592 10 64 2 200 50
103303168 10 64 2 500 50
345925376 10 64 2 1000 50
1294586880 10 64 2 2000 50
11875328 10 64 3 100 50
32343808 10 64 3 200 50
132036352 10 64 3 500 50
497277440 10 64 3 1000 50
1712576000 10 64 3 2000 50
15728640 10 64 4 100 50
42345216 10 64 4 200 50
165996032 10 64 4 500 50
592541440 10 64 4 1000 50
2158561280 10 64 4 2000 50
13705984 10 128 1 100 50
32495616 10 128 1 200 50
87645952 10 128 1 500 50
263660544 10 128 1 1000 50
875898368 10 128 1 2000 50
17797888 10 128 2 100 50
41159936 10 128 2 200 50
132869120 10 128 2 500 50
414783488 10 128 2 1000 50
1388164608 10 128 2 2000 50
22293248 10 128 3 100 50
51051776 10 128 3 200 50
194214912 10 128 3 500 50
525998848 10 128 3 1000 50
1995961344 10 128 3 2000 50
27653888 10 128 4 100 50
66050048 10 128 4 200 50
233190912 10 128 4 500 50
669237248 10 128 4 1000 50
2376953344 10 128 4 2000 50
3996416 20 16 1 100 50
11540736 20 16 1 200 50
52488704 20 16 1 500 50
187179264 20 16 1 1000 50
703678464 20 16 1 2000 50
