op_memory sequence_length batch_size num_layers num_units num_steps
3333376 10 16 1 100 50
11605760 10 16 1 200 50
67674880 10 16 1 500 50
268539648 10 16 1 1000 50
935519744 10 16 1 2000 50
4838144 10 16 2 100 50
18077184 10 16 2 200 50
97294080 10 16 2 500 50
377037056 10 16 2 1000 50
1482150656 10 16 2 2000 50
6693888 10 16 3 100 50
24404736 10 16 3 200 50
134145536 10 16 3 500 50
535758848 10 16 3 1000 50
2001764864 10 16 3 2000 50
8339712 10 16 4 100 50
30206464 10 16 4 200 50
165575168 10 16 4 500 50
661966592 10 16 4 1000 50
2523985664 10 16 4 2000 50
3788800 10 32 1 100 50
13001984 10 32 1 200 50
67205120 10 32 1 500 50
267579904 10 32 1 1000 50
1070981888 10 32 1 2000 50
6043904 10 32 2 100 50
20241664 10 32 2 200 50
103821824 10 32 2 500 50
388941056 10 32 2 1000 50
1506213632 10 32 2 2000 50
8381440 10 32 3 100 50
27795968 10 32 3 200 50
140986112 10 32 3 500 50
533615104 10 32 3 1000 50
2138131456 10 32 3 2000 50
10367488 10 32 4 100 50
34822144 10 32 4 200 50
175363328 10 32 4 500 50
660076032 10 32 4 1000 50
2643251200 10 32 4 2000 50
5248768 10 64 1 100 50
16449792 10 64 1 200 50
74245120 10 64 1 500 50
265659904 10 64 1 1000 50
1067141888 10 64 1 2000 50
8857856 10 64 2 100 50
25720576 10 64 2 200 50
115471616 10 64 2 500 50
412878080 10 64 2 1000 50
1554601728 10 64 2 2000 50
11878144 10 64 3 100 50
34974464 10 64 3 200 50
155834112 10 64 3 500 50
561007104 10 64 3 1000 50
2126611456 10 64 3 2000 50
14873344 10 64 4 100 50
42657024 10 64 4 200 50
195396608 10 64 4 500 50
699886080 10 64 4 1000 50
2746087168 10 64 4 2000 50
8932096 10 128 1 100 50
21875456 10 128 1 200 50
86981120 10 128 1 500 50
293819648 10 128 1 1000 50
1058583296 10 128 1 2000 50
13760768 10 128 2 100 50
35481344 10 128 2 200 50
145401344 10 128 2 500 50
461266432 10 128 2 1000 50
1647516672 10 128 2 2000 50
19128576 10 128 3 100 50
48494848 10 128 3 200 50
187777280 10 128 3 500 50
619489536 10 128 3 1000 50
2232933632 10 128 3 2000 50
24181248 10 128 4 100 50
60262144 10 128 4 200 50
234633216 10 128 4 500 50
777854976 10 128 4 1000 50
2790122752 10 128 4 2000 50
3821568 20 16 1 100 50
13129728 20 16 1 200 50
67685120 20 16 1 500 50
268539648 20 16 1 1000 50
1072901888 20 16 1 2000 50
6121728 20 16 2 100 50
20333312 20 16 2 200 50
104079104 20 16 2 500 50
389643776 20 16 2 1000 50
1507625216 20 16 2 2000 50
8574208 20 16 3 100 50
28041472 20 16 3 200 50
142145536 20 16 3 500 50
535742720 20 16 3 1000 50
2143151616 20 16 3 2000 50
10674432 20 16 4 100 50
35554816 20 16 4 200 50
177065728 20 16 4 500 50
663800832 20 16 4 1000 50
2652979456 20 16 4 2000 50
5325568 20 32 1 100 50
16627456 20 32 1 200 50
75205376 20 32 1 500 50
267579648 20 32 1 1000 50
1070981888 20 32 1 2000 50
8857600 20 32 2 100 50
25876480 20 32 2 200 50
116239616 20 32 2 500 50
414670080 20 32 2 1000 50
1557414656 20 32 2 2000 50
11943936 20 32 3 100 50
35665664 20 32 3 200 50
157848320 20 32 3 500 50
565487104 20 32 3 1000 50
2137619712 20 32 3 2000 50
15075584 20 32 4 100 50
43914752 20 32 4 200 50
198212864 20 32 4 500 50
707457792 20 32 4 1000 50
2652392192 20 32 4 2000 50
8855296 20 64 1 100 50
22136576 20 64 1 200 50
87508480 20 64 1 500 50
297659904 20 64 1 1000 50
1067142144 20 64 1 2000 50
13799424 20 64 2 100 50
35332864 20 64 2 200 50
147065344 20 64 2 500 50
464081152 20 64 2 1000 50
1657004800 20 64 2 2000 50
19346176 20 64 3 100 50
48904448 20 64 3 200 50
192897280 20 64 3 500 50
628960768 20 64 3 1000 50
2254611456 20 64 3 2000 50
24261376 20 64 4 100 50
60832000 20 64 4 200 50
241481728 20 64 4 500 50
791940352 20 64 4 1000 50
2821432320 20 64 4 2000 50
15636224 20 128 1 100 50
35078912 20 128 1 200 50
117455360 20 128 1 500 50
350921984 20 128 1 1000 50
1175324672 20 128 1 2000 50
24545024 20 128 2 100 50
57302784 20 128 2 200 50
191552256 20 128 2 500 50
583021568 20 128 2 1000 50
1831847424 20 128 2 2000 50
34528768 20 128 3 100 50
77739776 20 128 3 200 50
263442176 20 128 3 500 50
763773696 20 128 3 1000 50
2488359680 20 128 3 2000 50
43830784 20 128 4 100 50
98025216 20 128 4 200 50
327120896 20 128 4 500 50
961677824 20 128 4 1000 50
3138293504 20 128 4 2000 50
6154752 50 16 1 100 50
18146560 50 16 1 200 50
76566016 50 16 1 500 50
297598976 50 16 1 1000 50
1072902144 50 16 1 2000 50
10126848 50 16 2 100 50
28425728 50 16 2 200 50
122994944 50 16 2 500 50
427982848 50 16 2 1000 50
1584552960 50 16 2 2000 50
13944064 50 16 3 100 50
39266816 50 16 3 200 50
167326208 50 16 3 500 50
599678720 50 16 3 1000 50
2265261056 50 16 3 2000 50
17700864 50 16 4 100 50
49254144 50 16 4 200 50
211659264 50 16 4 500 50
733704192 50 16 4 1000 50
2705534976 50 16 4 2000 50
10381312 50 32 1 100 50
25417728 50 32 1 200 50
95568384 50 32 1 500 50
306296064 50 32 1 1000 50
1174412544 50 32 1 2000 50
16480768 50 32 2 100 50
41456128 50 32 2 200 50
155260928 50 32 2 500 50
491345920 50 32 2 1000 50
1697964032 50 32 2 2000 50
23196672 50 32 3 100 50
56886272 50 32 3 200 50
212741120 50 32 3 500 50
670562304 50 32 3 1000 50
2383379712 50 32 3 2000 50
29220864 50 32 4 100 50
71673088 50 32 4 200 50
270743040 50 32 4 500 50
846978304 50 32 4 1000 50
2915379968 50 32 4 2000 50
18633728 50 64 1 100 50
43631872 50 64 1 200 50
135478784 50 64 1 500 50
369361920 50 64 1 1000 50
1198969344 50 64 1 2000 50
29757184 50 64 2 100 50
68530688 50 64 2 200 50
218046976 50 64 2 500 50
605023488 50 64 2 1000 50
1937600768 50 64 2 2000 50
42604544 50 64 3 100 50
93067520 50 64 3 200 50
300730112 50 64 3 500 50
831599872 50 64 3 1000 50
2644243968 50 64 3 2000 50
52870144 50 64 4 100 50
117541120 50 64 4 200 50
387225856 50 64 4 500 50
1076377856 50 64 4 1000 50
3348275968 50 64 4 2000 50
36899584 50 128 1 100 50
76632576 50 128 1 200 50
218243584 50 128 1 500 50
513128704 50 128 1 1000 50
1475417344 50 128 1 2000 50
58386944 50 128 2 100 50
120050176 50 128 2 200 50
340757504 50 128 2 500 50
844920576 50 128 2 1000 50
2415577600 50 128 2 2000 50
81342976 50 128 3 100 50
167191040 50 128 3 200 50
475973376 50 128 3 500 50
1168249344 50 128 3 1000 50
3318439680 50 128 3 2000 50
100798976 50 128 4 100 50
213168640 50 128 4 200 50
608799488 50 128 4 500 50
1508537600 50 128 4 1000 50
4254640128 50 128 4 2000 50
10445312 100 16 1 100 50
25481472 100 16 1 200 50
95823872 100 16 1 500 50
306680320 100 16 1 1000 50
1175820032 100 16 1 2000 50
16563968 100 16 2 100 50
41494016 100 16 2 200 50
155681792 100 16 2 500 50
492120320 100 16 2 1000 50
1699629056 100 16 2 2000 50
23345664 100 16 3 100 50
56780544 100 16 3 200 50
213481728 100 16 3 500 50
671854592 100 16 3 1000 50
2387981568 100 16 3 2000 50
29514240 100 16 4 100 50
72118272 100 16 4 200 50
272475648 100 16 4 500 50
850066176 100 16 4 1000 50
2923591168 100 16 4 2000 50
18569728 100 32 1 100 50
43887872 100 32 1 200 50
136182784 100 32 1 500 50
370258176 100 32 1 1000 50
1200735232 100 32 1 2000 50
29629184 100 32 2 100 50
68581888 100 32 2 200 50
218750720 100 32 2 500 50
606687488 100 32 2 1000 50
1941414144 100 32 2 2000 50
42336000 100 32 3 100 50
94065920 100 32 3 200 50
303111936 100 32 3 500 50
838767616 100 32 3 1000 50
2653388032 100 32 3 2000 50
52690944 100 32 4 100 50
119003648 100 32 4 200 50
391308032 100 32 4 500 50
1074086656 100 32 4 1000 50
3363635968 100 32 4 2000 50
36771584 100 64 1 100 50
76376576 100 64 1 200 50
219523584 100 64 1 500 50
515944704 100 64 1 1000 50
1481394688 100 64 1 2000 50
58259200 100 64 2 100 50
119436032 100 64 2 200 50
342933248 100 64 2 500 50
847992576 100 64 2 1000 50
2424531968 100 64 2 2000 50
80139776 100 64 3 100 50
166525440 100 64 3 200 50
478635776 100 64 3 500 50
1178473216 100 64 3 1000 50
3335488256 100 64 3 2000 50
100875776 100 64 4 100 50
213527040 100 64 4 200 50
617633024 100 64 4 500 50
1528992000 100 64 4 1000 50
4288463872 100 64 4 2000 50
75323136 100 128 1 100 50
147724032 100 128 1 200 50
365996544 100 128 1 500 50
877954560 100 128 1 1000 50
2059738112 100 128 1 2000 50
117255680 100 128 2 100 50
233879040 100 128 2 200 50
595928576 100 128 2 500 50
1367941888 100 128 2 1000 50
3391085824 100 128 2 2000 50
158205440 100 128 3 100 50
322835968 100 128 3 200 50
837541888 100 128 3 500 50
1896550656 100 128 3 1000 50
4701933568 100 128 3 2000 50
199728640 100 128 4 100 50
404960768 100 128 4 200 50
1074431488 100 128 4 500 50
2449399552 100 128 4 1000 50
6079497472 100 128 4 2000 50
