op_memory sequence_length batch_size num_layers num_units num_steps
3150592 10 16 1 100 50
9508608 10 16 1 200 50
47336448 10 16 1 500 50
177426944 10 16 1 1000 50
681387008 10 16 1 2000 50
5599488 10 16 2 100 50
18806016 10 16 2 200 50
107354112 10 16 2 500 50
348396544 10 16 2 1000 50
1353948928 10 16 2 2000 50
7338496 10 16 3 100 50
30483968 10 16 3 200 50
162917376 10 16 3 500 50
623551744 10 16 3 1000 50
1977771776 10 16 3 2000 50
10201600 10 16 4 100 50
37165568 10 16 4 200 50
179797248 10 16 4 500 50
689632512 10 16 4 1000 50
2695072512 10 16 4 2000 50
4284416 10 32 1 100 50
12314112 10 32 1 200 50
65692416 10 32 1 500 50
190059264 10 32 1 1000 50
709189632 10 32 1 2000 50
8035072 10 32 2 100 50
21922560 10 32 2 200 50
114733056 10 32 2 500 50
366354432 10 32 2 1000 50
1392877312 10 32 2 2000 50
9571840 10 32 3 100 50
31638784 10 32 3 200 50
178107648 10 32 3 500 50
652587520 10 32 3 1000 50
2035397376 10 32 3 2000 50
15726080 10 32 4 100 50
40935680 10 32 4 200 50
195787520 10 32 4 500 50
719435520 10 32 4 1000 50
2757690112 10 32 4 2000 50
7709440 10 64 1 100 50
18283520 10 64 1 200 50
65918976 10 64 1 500 50
217727744 10 64 1 1000 50
763736064 10 64 1 2000 50
10373888 10 64 2 100 50
33061888 10 64 2 200 50
127335424 10 64 2 500 50
407392256 10 64 2 1000 50
1467271680 10 64 2 2000 50
14583808 10 64 3 100 50
41204736 10 64 3 200 50
207582208 10 64 3 500 50
711937280 10 64 3 1000 50
2153069568 10 64 3 2000 50
21392896 10 64 4 100 50
63297024 10 64 4 200 50
247087616 10 64 4 500 50
783134720 10 64 4 1000 50
2878434304 10 64 4 2000 50
13705984 10 128 1 100 50
32495616 10 128 1 200 50
88157952 10 128 1 500 50
263660544 10 128 1 1000 50
877946368 10 128 1 2000 50
21350400 10 128 2 100 50
43759616 10 128 2 200 50
152097536 10 128 2 500 50
512463872 10 128 2 1000 50
1625279488 10 128 2 2000 50
32495616 10 128 3 100 50
72552192 10 128 3 200 50
282327552 10 128 3 500 50
831096832 10 128 3 1000 50
2389454848 10 128 3 2000 50
34784768 10 128 4 100 50
85988352 10 128 4 200 50
322023424 10 128 4 500 50
988456960 10 128 4 1000 50
3132227584 10 128 4 2000 50
4009216 20 16 1 100 50
11566336 20 16 1 200 50
52552704 20 16 1 500 50
