op_memory sequence_length batch_size num_layers num_units num_steps
3150592 10 16 1 100 50
9508608 10 16 1 200 50
47336448 10 16 1 500 50
177426944 10 16 1 1000 50
681387008 10 16 1 2000 50
4961792 10 16 2 100 50
15754496 10 16 2 200 50
80890880 10 16 2 500 50
312061440 10 16 2 1000 50
1218264832 10 16 2 2000 50
6522112 10 16 3 100 50
19667712 10 16 3 200 50
107052800 10 16 3 500 50
411836672 10 16 3 1000 50
1611429120 10 16 3 2000 50
8272896 10 16 4 100 50
26411008 10 16 4 200 50
133995520 10 16 4 500 50
522551040 10 16 4 1000 50
2048628480 10 16 4 2000 50
4284416 10 32 1 100 50
12314112 10 32 1 200 50
65692416 10 32 1 500 50
190059264 10 32 1 1000 50
709189632 10 32 1 2000 50
6855680 10 32 2 100 50
18544640 10 32 2 200 50
85978624 10 32 2 500 50
324146432 10 32 2 1000 50
1245037824 10 32 2 2000 50
8288768 10 32 3 100 50
25157120 10 32 3 200 50
123137280 10 32 3 500 50
428225792 10 32 3 1000 50
1645479168 10 32 3 2000 50
10132480 10 32 4 100 50
33163520 10 32 4 200 50
147630336 10 32 4 500 50
540299008 10 32 4 1000 50
2088076800 10 32 4 2000 50
7709440 10 64 1 100 50
18283520 10 64 1 200 50
65918976 10 64 1 500 50
217727744 10 64 1 1000 50
763736064 10 64 1 2000 50
10392320 10 64 2 100 50
23796992 10 64 2 200 50
103815168 10 64 2 500 50
346437376 10 64 2 1000 50
1295610880 10 64 2 2000 50
11926528 10 64 3 100 50
32343808 10 64 3 200 50
132292352 10 64 3 500 50
496765440 10 64 3 1000 50
1713600000 10 64 3 2000 50
15728640 10 64 4 100 50
42447616 10 64 4 200 50
166252032 10 64 4 500 50
592541440 10 64 4 1000 50
2160609280 10 64 4 2000 50
13705984 10 128 1 100 50
32495616 10 128 1 200 50
88157952 10 128 1 500 50
263660544 10 128 1 1000 50
877946368 10 128 1 2000 50
17797888 10 128 2 100 50
41159936 10 128 2 200 50
132869120 10 128 2 500 50
416831488 10 128 2 1000 50
1390212608 10 128 2 2000 50
22293248 10 128 3 100 50
51256576 10 128 3 200 50
171558912 10 128 3 500 50
527022848 10 128 3 1000 50
1993913344 10 128 3 2000 50
27858688 10 128 4 100 50
66050048 10 128 4 200 50
234726912 10 128 4 500 50
670261248 10 128 4 1000 50
2376953344 10 128 4 2000 50
4009216 20 16 1 100 50
11566336 20 16 1 200 50
52552704 20 16 1 500 50
