op_memory sequence_length batch_size num_layers num_units num_steps
2642432 10 16 1 100 50
9613312 10 16 1 200 50
46362112 10 16 1 500 50
176131584 10 16 1 1000 50
684221952 10 16 1 2000 50
4154624 10 16 2 100 50
14899456 10 16 2 200 50
78696448 10 16 2 500 50
304160000 10 16 2 1000 50
1196349952 10 16 2 2000 50
5766912 10 16 3 100 50
20308736 10 16 3 200 50
107196416 10 16 3 500 50
412267264 10 16 3 1000 50
1615492864 10 16 3 2000 50
7441152 10 16 4 100 50
25172736 10 16 4 200 50
141207296 10 16 4 500 50
534555904 10 16 4 1000 50
2009917440 10 16 4 2000 50
3684096 10 32 1 100 50
11623424 10 32 1 200 50
51453184 10 32 1 500 50
185311744 10 32 1 1000 50
703093504 10 32 1 2000 50
5607936 10 32 2 100 50
17710848 10 32 2 200 50
83460864 10 32 2 500 50
313567744 10 32 2 1000 50
1215406080 10 32 2 2000 50
7736832 10 32 3 100 50
24113408 10 32 3 200 50
114907904 10 32 3 500 50
426025472 10 32 3 1000 50
1644732416 10 32 3 2000 50
9802240 10 32 4 100 50
30001408 10 32 4 200 50
143259392 10 32 4 500 50
561343488 10 32 4 1000 50
2131921664 10 32 4 2000 50
5698816 10 64 1 100 50
16187392 10 64 1 200 50
60651008 10 64 1 500 50
204410624 10 64 1 1000 50
741250816 10 64 1 2000 50
8608000 10 64 2 100 50
24032000 10 64 2 200 50
95485440 10 64 2 500 50
332426752 10 64 2 1000 50
1253307392 10 64 2 2000 50
11685120 10 64 3 100 50
33275136 10 64 3 200 50
136674304 10 64 3 500 50
455124480 10 64 3 1000 50
1703113728 10 64 3 2000 50
14757120 10 64 4 100 50
40297216 10 64 4 200 50
165410304 10 64 4 500 50
571872768 10 64 4 1000 50
2242854400 10 64 4 2000 50
9552640 10 128 1 100 50
22856960 10 128 1 200 50
80001536 10 128 1 500 50
242569984 10 128 1 1000 50
816664064 10 128 1 2000 50
14682880 10 128 2 100 50
35727616 10 128 2 200 50
126081536 10 128 2 500 50
381927936 10 128 2 1000 50
1328824320 10 128 2 2000 50
19999488 10 128 3 100 50
48015616 10 128 3 200 50
172710400 10 128 3 500 50
545644032 10 128 3 1000 50
1819743488 10 128 3 2000 50
25119488 10 128 4 100 50
60303616 10 128 4 200 50
216230400 10 128 4 500 50
660603392 10 128 4 1000 50
2285791744 10 128 4 2000 50
